[2024-11-20 19:16:02] Open: 94302.48, High: 94343.43, Low: 94302.48, Close: 94343.43
[2024-11-20 21:04:04] Open: 94086.40, High: 94169.99, Low: 94086.40, Close: 94161.52
[2024-11-20 21:05:04] Open: 94134.68, High: 94211.07, Low: 94124.72, Close: 94211.07
[2024-11-20 21:06:03] Open: 94232.97, High: 94258.21, Low: 94186.63, Close: 94186.63
[2024-11-20 21:07:03] Open: 94226.13, High: 94283.14, Low: 94214.19, Close: 94283.14
[2024-11-20 21:08:03] Open: 94298.36, High: 94298.36, Low: 94234.75, Close: 94295.46
[2024-11-20 21:09:04] Open: 94317.00, High: 94364.38, Low: 94317.00, Close: 94338.86
[2024-11-20 21:10:04] Open: 94368.31, High: 94368.31, Low: 94247.67, Close: 94324.40
[2024-11-20 21:11:00] Open: 94346.39, High: 94346.39, Low: 94298.76, Close: 94330.99
[2024-11-20 21:12:00] Open: 94315.41, High: 94384.63, Low: 94288.88, Close: 94322.42
[2024-11-20 21:13:03] Open: 94343.69, High: 94343.69, Low: 94307.64, Close: 94314.01
[2024-11-20 21:14:04] Open: 94314.02, High: 94348.52, Low: 94263.19, Close: 94325.67
[2024-11-20 21:15:03] Open: 94274.51, High: 94360.96, Low: 94274.51, Close: 94318.09
[2024-11-20 21:16:04] Open: 94305.19, High: 94387.01, Low: 94292.56, Close: 94385.20
[2024-11-20 21:17:03] Open: 94378.57, High: 94378.57, Low: 94302.16, Close: 94302.16
[2024-11-20 21:18:02] Open: 94312.08, High: 94323.38, Low: 94237.91, Close: 94244.40
[2024-11-20 21:19:00] Open: 94300.78, High: 94300.78, Low: 94064.25, Close: 94064.25
[2024-11-20 21:20:04] Open: 94109.24, High: 94172.19, Low: 93991.44, Close: 93991.44
[2024-11-20 21:21:04] Open: 93996.58, High: 94028.70, Low: 93903.48, Close: 93903.48
[2024-11-20 21:22:03] Open: 93874.94, High: 93971.16, Low: 93831.21, Close: 93873.60
[2024-11-20 21:23:02] Open: 93867.68, High: 93867.68, Low: 93792.21, Close: 93792.21
[2024-11-20 21:24:03] Open: 93769.15, High: 93769.15, Low: 93708.43, Close: 93760.14
[2024-11-20 21:25:02] Open: 93796.93, High: 94005.07, Low: 93796.93, Close: 94005.07
[2024-11-20 21:26:01] Open: 94074.70, High: 94074.70, Low: 93994.31, Close: 94025.34
[2024-11-20 21:27:05] Open: 94055.00, High: 94152.80, Low: 94041.47, Close: 94117.48
[2024-11-20 21:28:04] Open: 94145.03, High: 94145.03, Low: 94044.04, Close: 94044.69
[2024-11-20 21:29:03] Open: 94089.65, High: 94146.00, Low: 94054.76, Close: 94131.53
[2024-11-20 21:30:02] Open: 94101.32, High: 94116.43, Low: 94052.67, Close: 94066.72
[2024-11-20 21:31:00] Open: 94004.00, High: 94012.01, Low: 93897.37, Close: 93897.37
[2024-11-20 21:32:05] Open: 93878.54, High: 93887.25, Low: 93798.02, Close: 93816.73
[2024-11-20 21:33:03] Open: 93854.35, High: 93880.85, Low: 93728.95, Close: 93728.95
[2024-11-20 21:34:01] Open: 93703.96, High: 94300.45, Low: 93690.82, Close: 94300.45
[2024-11-20 21:35:00] Open: 94388.22, High: 94388.22, Low: 94070.25, Close: 94213.63
[2024-11-20 21:36:05] Open: 94165.80, High: 94332.67, Low: 94132.57, Close: 94239.06
[2024-11-20 21:37:03] Open: 94218.29, High: 94218.29, Low: 93801.13, Close: 93801.13
[2024-11-20 21:38:03] Open: 93855.19, High: 93917.62, Low: 93800.65, Close: 93917.62
[2024-11-20 21:39:02] Open: 93905.16, High: 93913.67, Low: 93513.90, Close: 93513.90
[2024-11-20 21:40:02] Open: 93500.01, High: 93615.83, Low: 93483.02, Close: 93606.13
[2024-11-20 21:41:00] Open: 93651.93, High: 93692.06, Low: 93633.66, Close: 93688.98
[2024-11-20 21:42:04] Open: 93667.92, High: 93667.92, Low: 93511.54, Close: 93511.54
[2024-11-20 21:43:02] Open: 93515.48, High: 93525.20, Low: 93478.80, Close: 93478.80
[2024-11-20 21:44:01] Open: 93502.41, High: 93575.20, Low: 93463.34, Close: 93575.20
[2024-11-20 21:45:05] Open: 93541.15, High: 93588.48, Low: 93509.06, Close: 93513.78
[2024-11-20 21:46:04] Open: 93483.24, High: 93492.32, Low: 93342.11, Close: 93358.68
[2024-11-20 21:47:02] Open: 93356.08, High: 93356.08, Low: 93281.99, Close: 93285.14
[2024-11-20 21:48:01] Open: 93309.22, High: 93413.84, Low: 93282.48, Close: 93393.89
[2024-11-20 21:49:04] Open: 93400.75, High: 93541.46, Low: 93400.75, Close: 93507.38
[2024-11-20 21:50:03] Open: 93525.64, High: 93603.67, Low: 93525.64, Close: 93562.56
[2024-11-20 21:51:01] Open: 93539.75, High: 93598.08, Low: 93508.93, Close: 93508.93
[2024-11-20 21:52:05] Open: 93410.26, High: 93562.22, Low: 93410.26, Close: 93547.88
[2024-11-20 21:53:03] Open: 93591.99, High: 93626.83, Low: 93559.01, Close: 93607.14
[2024-11-20 21:54:01] Open: 93591.00, High: 93595.71, Low: 93514.21, Close: 93516.46
[2024-11-20 21:55:00] Open: 93508.71, High: 93776.77, Low: 93508.71, Close: 93761.52
[2024-11-20 21:56:03] Open: 93729.84, High: 93820.84, Low: 93713.64, Close: 93781.14
[2024-11-20 21:57:02] Open: 93815.56, High: 93856.24, Low: 93794.01, Close: 93794.01
[2024-11-20 21:58:00] Open: 93776.33, High: 93776.33, Low: 93719.72, Close: 93759.11
[2024-11-20 21:59:04] Open: 93717.38, High: 93775.01, Low: 93653.29, Close: 93775.01
[2024-11-20 22:00:02] Open: 93745.00, High: 93836.07, Low: 93736.01, Close: 93780.04
[2024-11-20 22:01:01] Open: 93806.64, High: 93864.18, Low: 93715.67, Close: 93729.68
[2024-11-20 22:02:04] Open: 93727.74, High: 93773.59, Low: 93681.54, Close: 93681.54
[2024-11-20 22:03:03] Open: 93704.60, High: 93812.07, Low: 93704.60, Close: 93812.07
[2024-11-20 22:04:01] Open: 93829.33, High: 93866.53, Low: 93780.68, Close: 93831.59
[2024-11-20 22:05:00] Open: 93871.50, High: 93939.75, Low: 93871.50, Close: 93901.22
[2024-11-20 22:06:03] Open: 93897.49, High: 93954.76, Low: 93842.70, Close: 93846.26
[2024-11-20 22:07:01] Open: 93899.98, High: 93899.98, Low: 93750.86, Close: 93750.86
[2024-11-20 22:08:00] Open: 93744.57, High: 93744.57, Low: 93663.73, Close: 93667.12
[2024-11-20 22:09:04] Open: 93668.71, High: 93668.71, Low: 93568.50, Close: 93582.33
[2024-11-20 22:10:02] Open: 93600.12, High: 93614.64, Low: 93528.90, Close: 93534.00
[2024-11-20 22:11:01] Open: 93552.77, High: 93606.97, Low: 93551.16, Close: 93601.25
[2024-11-20 22:12:04] Open: 93605.27, High: 93606.09, Low: 93558.38, Close: 93576.74
[2024-11-20 22:13:03] Open: 93550.08, High: 93650.73, Low: 93550.08, Close: 93609.90
[2024-11-20 22:14:01] Open: 93677.74, High: 93773.99, Low: 93663.47, Close: 93770.02
[2024-11-20 22:15:00] Open: 93744.30, High: 93744.30, Low: 93655.09, Close: 93686.40
[2024-11-20 22:16:04] Open: 93700.05, High: 93769.46, Low: 93672.50, Close: 93769.46
[2024-11-20 22:17:02] Open: 93766.40, High: 93811.23, Low: 93756.82, Close: 93773.83
[2024-11-20 22:18:00] Open: 93767.51, High: 93793.64, Low: 93595.69, Close: 93595.69
[2024-11-20 22:19:04] Open: 93610.46, High: 93610.46, Low: 93495.55, Close: 93495.55
[2024-11-20 22:20:02] Open: 93489.58, High: 93538.53, Low: 93469.37, Close: 93477.62
[2024-11-20 22:21:01] Open: 93482.69, High: 93556.05, Low: 93465.03, Close: 93486.06
[2024-11-20 22:22:04] Open: 93501.44, High: 93501.44, Low: 93446.33, Close: 93471.65
[2024-11-20 22:23:03] Open: 93490.24, High: 93490.24, Low: 93395.91, Close: 93395.91
[2024-11-20 22:24:01] Open: 93407.90, High: 93407.90, Low: 93351.23, Close: 93375.12
[2024-11-20 22:25:00] Open: 93381.88, High: 93390.60, Low: 93333.25, Close: 93333.25
[2024-11-20 22:26:03] Open: 93350.21, High: 93439.17, Low: 93350.21, Close: 93360.64
[2024-11-20 22:27:02] Open: 93357.09, High: 93486.67, Low: 93356.81, Close: 93486.67
[2024-11-20 22:28:00] Open: 93525.39, High: 93525.39, Low: 93416.63, Close: 93438.55
[2024-11-20 22:29:04] Open: 93459.66, High: 93490.16, Low: 93372.37, Close: 93372.37
[2024-11-20 22:30:02] Open: 93368.73, High: 93487.59, Low: 93361.83, Close: 93487.59
[2024-11-20 22:31:01] Open: 93508.04, High: 93582.28, Low: 93479.79, Close: 93582.28
[2024-11-20 22:32:05] Open: 93582.28, High: 93600.00, Low: 93547.90, Close: 93575.55
[2024-11-20 22:33:03] Open: 93595.97, High: 93625.36, Low: 93565.02, Close: 93600.02
[2024-11-20 22:34:02] Open: 93601.30, High: 93653.93, Low: 93570.45, Close: 93624.09
[2024-11-20 22:35:00] Open: 93653.93, High: 93725.35, Low: 93653.93, Close: 93725.35
[2024-11-20 22:36:04] Open: 93719.00, High: 93739.44, Low: 93682.88, Close: 93739.44
[2024-11-20 22:37:02] Open: 93770.95, High: 93790.01, Low: 93759.94, Close: 93776.21
[2024-11-20 22:38:01] Open: 93758.12, High: 93832.85, Low: 93758.12, Close: 93794.29
[2024-11-20 22:39:04] Open: 93744.08, High: 93834.40, Low: 93744.08, Close: 93822.17
[2024-11-20 22:40:03] Open: 93835.78, High: 93844.39, Low: 93790.94, Close: 93823.99
[2024-11-20 22:41:01] Open: 93821.06, High: 93944.95, Low: 93821.06, Close: 93944.95
[2024-11-20 22:42:05] Open: 93914.33, High: 93914.33, Low: 93816.63, Close: 93853.58
[2024-11-20 22:43:03] Open: 93857.77, High: 93904.74, Low: 93854.50, Close: 93854.50
[2024-11-20 22:44:01] Open: 93880.43, High: 93880.43, Low: 93809.21, Close: 93809.21
[2024-11-20 22:45:00] Open: 93818.48, High: 93923.26, Low: 93818.47, Close: 93923.26
[2024-11-20 22:46:03] Open: 93948.67, High: 93963.96, Low: 93864.11, Close: 93870.40
[2024-11-20 22:47:02] Open: 93843.58, High: 93858.56, Low: 93827.95, Close: 93839.87
[2024-11-20 22:48:00] Open: 93833.04, High: 93999.57, Low: 93833.04, Close: 93999.57
[2024-11-20 22:49:04] Open: 94039.27, High: 94064.27, Low: 93955.53, Close: 94000.29
[2024-11-20 22:50:02] Open: 94000.29, High: 94035.72, Low: 93981.94, Close: 94028.65
[2024-11-20 22:51:01] Open: 94029.69, High: 94037.84, Low: 93861.85, Close: 93881.75
[2024-11-20 22:52:04] Open: 93861.24, High: 93934.28, Low: 93861.23, Close: 93902.94
[2024-11-20 22:53:03] Open: 93889.37, High: 94001.61, Low: 93886.83, Close: 94001.61
[2024-11-20 22:54:01] Open: 94023.07, High: 94032.93, Low: 93988.00, Close: 94032.93
[2024-11-20 22:55:00] Open: 94018.41, High: 94099.96, Low: 94018.41, Close: 94075.16
[2024-11-20 22:56:03] Open: 94075.18, High: 94100.00, Low: 94072.38, Close: 94086.13
[2024-11-20 22:57:02] Open: 94057.58, High: 94057.58, Low: 94007.51, Close: 94015.82
[2024-11-20 22:58:00] Open: 94007.40, High: 94109.21, Low: 94007.40, Close: 94098.06
[2024-11-20 22:59:04] Open: 94091.61, High: 94091.61, Low: 94058.27, Close: 94081.87
[2024-11-20 23:00:02] Open: 94088.58, High: 94139.12, Low: 94073.24, Close: 94139.12
[2024-11-20 23:01:01] Open: 94129.36, High: 94172.96, Low: 94101.74, Close: 94101.74
[2024-11-20 23:02:05] Open: 94066.69, High: 94182.42, Low: 94066.69, Close: 94095.59
[2024-11-20 23:03:03] Open: 94136.58, High: 94150.00, Low: 94082.11, Close: 94091.25
[2024-11-20 23:04:01] Open: 94066.83, High: 94146.46, Low: 94057.03, Close: 94146.46
[2024-11-20 23:05:00] Open: 94149.96, High: 94231.56, Low: 94140.28, Close: 94231.54
[2024-11-20 23:06:03] Open: 94231.60, High: 94294.37, Low: 94231.60, Close: 94258.88
[2024-11-20 23:07:02] Open: 94286.98, High: 94326.35, Low: 94195.94, Close: 94218.41
[2024-11-20 23:08:00] Open: 94261.31, High: 94327.45, Low: 94235.73, Close: 94239.96
[2024-11-20 23:09:04] Open: 94239.32, High: 94292.04, Low: 94239.32, Close: 94244.73
[2024-11-20 23:10:02] Open: 94250.00, High: 94250.00, Low: 94146.70, Close: 94181.13
[2024-11-20 23:11:00] Open: 94187.94, High: 94223.54, Low: 94187.94, Close: 94212.56
[2024-11-20 23:12:04] Open: 94212.49, High: 94212.49, Low: 94141.86, Close: 94141.86
[2024-11-20 23:13:02] Open: 94150.52, High: 94150.52, Low: 94100.00, Close: 94103.14
[2024-11-20 23:14:01] Open: 94091.97, High: 94091.97, Low: 93990.42, Close: 93990.51
[2024-11-20 23:15:04] Open: 93981.01, High: 94075.83, Low: 93949.54, Close: 94013.61
[2024-11-20 23:16:03] Open: 94030.60, High: 94089.30, Low: 94006.83, Close: 94006.83
[2024-11-20 23:17:01] Open: 93960.96, High: 94069.67, Low: 93960.96, Close: 94021.17
[2024-11-20 23:18:05] Open: 94028.76, High: 94112.80, Low: 94028.76, Close: 94069.72
[2024-11-20 23:19:04] Open: 94070.75, High: 94141.24, Low: 94070.75, Close: 94117.66
[2024-11-20 23:20:03] Open: 94124.02, High: 94206.25, Low: 94124.02, Close: 94182.94
[2024-11-20 23:21:01] Open: 94179.96, High: 94228.49, Low: 94175.94, Close: 94206.34
[2024-11-20 23:22:05] Open: 94206.06, High: 94206.06, Low: 94091.88, Close: 94118.59
[2024-11-20 23:23:03] Open: 94128.78, High: 94152.01, Low: 94067.66, Close: 94152.01
[2024-11-20 23:24:02] Open: 94156.72, High: 94203.66, Low: 94122.04, Close: 94203.66
[2024-11-20 23:25:01] Open: 94196.06, High: 94254.70, Low: 94129.24, Close: 94254.70
[2024-11-20 23:26:00] Open: 94298.91, High: 94325.00, Low: 94271.60, Close: 94298.32
[2024-11-20 23:27:03] Open: 94298.32, High: 94341.59, Low: 94293.60, Close: 94314.23
[2024-11-20 23:28:02] Open: 94285.16, High: 94355.15, Low: 94282.46, Close: 94355.15
[2024-11-20 23:29:01] Open: 94349.98, High: 94350.00, Low: 94313.81, Close: 94329.29
[2024-11-20 23:30:05] Open: 94372.48, High: 94372.48, Low: 94294.03, Close: 94311.34
[2024-11-20 23:31:03] Open: 94327.79, High: 94384.77, Low: 94296.18, Close: 94353.26
[2024-11-20 23:32:01] Open: 94363.50, High: 94395.64, Low: 94339.38, Close: 94380.27
[2024-11-20 23:33:00] Open: 94383.06, High: 94406.46, Low: 94378.57, Close: 94398.35
[2024-11-20 23:34:04] Open: 94408.28, High: 94414.01, Low: 94358.03, Close: 94414.01
[2024-11-20 23:35:02] Open: 94441.00, High: 94446.21, Low: 94385.57, Close: 94446.18
[2024-11-20 23:36:00] Open: 94454.97, High: 94471.28, Low: 94444.39, Close: 94463.38
[2024-11-20 23:37:04] Open: 94469.13, High: 94551.04, Low: 94424.69, Close: 94424.69
[2024-11-20 23:38:02] Open: 94385.30, High: 94503.34, Low: 94385.30, Close: 94503.34
[2024-11-20 23:39:01] Open: 94501.34, High: 94623.04, Low: 94489.26, Close: 94617.84
[2024-11-20 23:40:04] Open: 94653.22, High: 94717.86, Low: 94653.22, Close: 94707.75
[2024-11-20 23:41:03] Open: 94702.29, High: 94726.30, Low: 94659.11, Close: 94687.23
[2024-11-20 23:42:00] Open: 94651.98, High: 94653.77, Low: 94582.75, Close: 94612.28
[2024-11-20 23:43:04] Open: 94603.32, High: 94626.48, Low: 94526.59, Close: 94626.48
[2024-11-20 23:44:02] Open: 94647.29, High: 94647.29, Low: 94559.77, Close: 94573.92
[2024-11-20 23:45:01] Open: 94575.95, High: 94631.90, Low: 94575.95, Close: 94585.61
[2024-11-20 23:46:00] Open: 94614.55, High: 94614.55, Low: 94474.80, Close: 94474.80
[2024-11-20 23:47:04] Open: 94511.69, High: 94635.19, Low: 94490.00, Close: 94635.19
[2024-11-20 23:48:02] Open: 94609.56, High: 94645.15, Low: 94590.01, Close: 94593.17
[2024-11-20 23:49:00] Open: 94586.32, High: 94612.10, Low: 94528.38, Close: 94584.17
[2024-11-20 23:50:04] Open: 94548.07, High: 94548.07, Low: 94451.48, Close: 94489.54
[2024-11-20 23:51:03] Open: 94474.72, High: 94474.72, Low: 94414.66, Close: 94430.73
[2024-11-20 23:52:02] Open: 94409.84, High: 94453.99, Low: 94375.96, Close: 94420.26
[2024-11-20 23:53:00] Open: 94419.74, High: 94419.74, Low: 94344.29, Close: 94344.29
[2024-11-20 23:54:03] Open: 94387.99, High: 94436.02, Low: 94335.00, Close: 94335.81
[2024-11-20 23:55:01] Open: 94340.02, High: 94342.04, Low: 94301.35, Close: 94327.64
[2024-11-20 23:56:00] Open: 94359.08, High: 94363.98, Low: 94296.90, Close: 94363.98
[2024-11-20 23:57:03] Open: 94372.18, High: 94372.18, Low: 94223.33, Close: 94223.33
[2024-11-20 23:58:01] Open: 94210.00, High: 94278.65, Low: 94210.00, Close: 94278.25
[2024-11-20 23:59:00] Open: 94302.06, High: 94302.06, Low: 94212.64, Close: 94212.64
[2024-11-21 00:00:04] Open: 94211.16, High: 94430.52, Low: 94211.16, Close: 94365.85
[2024-11-21 00:01:02] Open: 94341.64, High: 94362.25, Low: 94332.40, Close: 94362.25
[2024-11-21 00:02:01] Open: 94367.17, High: 94511.95, Low: 94367.17, Close: 94469.02
